wallet,diff,before,after
0x02954368AEC552a66e839f52098b6144494B852d,	8888,	673,	9561
0x02BE22d611DAC97b6a8531e2BebC3da23A242856,	8888,	671,	9559
0x03174ca33e6045CaA5d1bA1ead1de2A75174093F,	8888,	682,	9570
0x05518813709d67d802cDC4f56eF42964B5E42dBb,	8888,	592,	9480
0x06fcdE77576faD2448c0837268A9BAf81DaF5163,	8888,	678,	9566
0x0A05bDD1eA878a08E30fBcF2a0AFfa94800e406D,	8888,	676,	9564
0x0A394210bEeB703DFC840f2c4Ab891C254f491A2,	8888,	680,	9568
0x0de9e5901CfE60aA4cBaA41Cd3F92C8c853fd2fe,	8888,	713,	9601
0x0E8F3090710d6f7Ab66626fCEa465B8cA2a037Ef,	8888,	52,	8940
0x0F7a594f13a7167887CA61084cec80A9EAFc88c2,	8888,	91,	8979
0x16e1b9fe283F081b2282d54229c174f8131e246c,	8888,	683,	9571
0x188D2B4EEf03ADB900c5Bea4f2cFE9816f199bd3,	8888,	4119,	13007
0x19E040F39105E6250378df6829B0E52BB4ae88d3,	8888,	676,	9564
0x1a89653c84ec72804Ac3db0cAB18297CE4E81c69,	8888,	240,	9128
0x1fF5306Ec4C622F68d178B96Cbced001bB8Dd31c,	8888,	679,	9567
0x23d0c623b2b093E9c2Ce0E4e46d2e21E22ba3C0E,	8888,	22,	8910
0x2559525b7aDE886069697416Af2d8c7597E7A2ac,	8888,	0,	8888
0x2c2354956B89c9828D53388cE9878Fb5e2De88A3,	8888,	706,	9594
0x2E058A88c70F5638eeEf9A801D0A9e28429D1202,	8888,	50,	8938
0x30A7BCE77c8311789d152222f88766E1fA3e556f,	8888,	681,	9569
0x3557F8781eBE9213b7E31cb4D0fDDE975812b4CA,	8888,	64,	8952
0x37462b833B72828e8dC2202B8a07256C27636Df6,	8888,	681,	9569
0x378fE8c7B8F856ced89056996b66634A97FC6C1C,	8888,	680,	9568
0x37b3a86c55A65E01Fe6B405949856a3C8e0e0074,	8888,	22,	8910
0x38d6EE15dcCED01B37337784ed926fAe98712096,	8888,	0,	8888
0x38e106b645c683d4f0d7744F9c26Aaa6Dcf4cBca,	8888,	0,	8888
0x3D318216a3f30fbAb886231EaA57A7Ff505a47E3,	8888,	181,	9069
0x3D51847413663696741ccC5081c1E9744B01c3E7,	8888,	8,	8896
0x3EB93607A63983f0E564CD2Dd6223310Ed92F240,	8888,	672,	9560
0x41190DD9177B7904855A137b37256e73E1e62fff,	8888,	43,	8931
0x41F196CC82fAefce8B1e4C1A3C1928f4FC8F1895,	8888,	40,	8928
0x425211041b0ad736CE152f94CF9B34A1dc6A2cff,	8888,	888,	9776
0x43B2C5537596Eb4fb13b05027d11742197EEF99A,	8888,	671,	9559
0x43D891C1b4118B709f3d63E9fC47daAA92E1112E,	8888,	100,	8988
0x466A7b643494b30aab09639731d09331d676B4EF,	8888,	682,	9570
0x491320F1F03e27Cd468441DCd4Fd053dECdC11fa,	8888,	680,	9568
0x54ab2B5dfc80DfF0043Ed623191c66B1AdD75484,	8888,	0,	8888
0x596873a0485EB3fBD1804A062017678c499AB7B3,	8888,	707,	9595
0x5e81d84fBf88359Fe72CB17489091496d84B583e,	8888,	0,	8888
0x5eC2Ba48358824b10c2f17c8705A325C8825339C,	8888,	47,	8935
0x6065525a1165F049B3F9048e44B2B93756EAb156,	8888,	55,	8943
0x63B54Aa1EC76DF310A2dB83e4089356cA112e83B,	8888,	22,	8910
